,owner,project,file,page,abstracted,classification
988,microsoft,wslg,"Diagnosing-""cannot-open-display""-type-issues-with-WSLg.md",diagnosing cannot open display type issues with wslg,diagnose cannot open display type issue with @PROJECT,How
989,microsoft,wslg,Controlling-WSLg-frame-rate.md,controlling wslg frame rate,control @PROJECT frame rate,References
990,Maximus5,ConEmu,ConEmu.md,con emu,@PROJECT,What
991,Maximus5,ConEmu,LogFiles.md,log files,log file,How
992,Maximus5,ConEmu,Home.md,home,home,What
993,Maximus5,ConEmu,Bash-For-Windows-and-VIM-Arrow-Keys.md,bash for windows and vim arrow keys,bash for window and vim arrow key,References
994,terryma,vim-multiple-cursors,Keystrokes-for-example-gifs.md,keystrokes for example gifs,keystroke for example gifs,References
995,dthree,cash,Usage-|-Global.md,usage global,usage global,How
996,dthree,cash,Usage-|-Interactive.md,usage interactive,usage interactive,How
997,dthree,cash,Usage-|-Programmatic.md,usage programmatic,usage programmatic,How
998,dthree,cash,Roadmap.md,roadmap,roadmap,When
999,dthree,cash,Contributing.md,contributing,contribute,Contribuition
1000,alibaba,rax,Driver-Specification.md,driver specification,driver specification,References
1001,cryptomator,cryptomator,Advanced-Settings.md,advanced settings,advance setting,References
1002,swagger-api,swagger-editor,Performance-(-initial-load-and-during-editing-).md,performance initial load and during editing,performance initial load and during edit,References
1003,metalsmith,metalsmith,The-basics-of-Metalsmith.md,the basics of metalsmith,the basic of @PROJECT,What
1004,metalsmith,metalsmith,Metalsmith-Blog-Guide.md,metalsmith blog guide,@PROJECT blog guide,Contribuition
1005,akavel,up,idea:-limiting-permissions.md,idea limiting permissions,idea limit permission,When
1006,gurugio,lowlevelprogramming-university,C-challenge-plan.md,c challenge plan,c challenge plan,References
1007,bottlepy,bottle,Roadmap.md,roadmap,roadmap,When
1008,altair-viz,altair,Hackathon-Helper-Links.md,hackathon helper links,hackathon helper link,References
1009,altair-viz,altair,What-to-work-on.md,what to work on,what to work on,Contribuition
1010,altair-viz,altair,"Altair-Hackathon,-October-2017.md",altair hackathon october 2017,@PROJECT hackathon @MONTH @YEAR,When
1011,altair-viz,altair,PyCon-Tutorial-Planning.md,py con tutorial planning,py con tutorial plan,Other
1012,SaschaWillems,Vulkan,Quick-start-guide.md,quick start guide,quick start guide,How
1013,SaschaWillems,Vulkan,Planned-examples.md,planned examples,plan example,References
1014,facebook,jscodeshift,Home.md,home,home,What
1015,facebook,jscodeshift,jscodeshift-Documentation.md,jscodeshift documentation,@PROJECT documentation,References
1016,modin-project,modin,Towards-Modin-1.0.md,towards modin 10,towards @PROJECT @NUMBER,When
1017,modin-project,modin,Release-procedure.md,release procedure,release procedure,Contribuition
1018,modin-project,modin,Modin-Core.md,modin core,@PROJECT core,Contribuition
1019,kylemanna,docker-openvpn,Port-forwarding.md,port forwarding,port forward,How
1020,ashleymills,Reachability.swift,Apps-using-Reachability.swift.md,apps using reachabilityswift,apps use @PROJECT,Who
1021,ashleymills,Reachability.swift,Raising-an-issue.md,raising an issue,raise an issue,Contribuition
1022,foundation,foundation-emails,Roadmap.md,roadmap,roadmap,When
1023,PureLayout,PureLayout,Migrating-from-PureLayout-v1.x-to-v2.0.md,migrating from pure layout v1x to v20,migrate from @PROJECT @NUMBER to @NUMBER,How
1024,PureLayout,PureLayout,Tips-and-Tricks.md,tips and tricks,tip and trick,References
1025,PureLayout,PureLayout,App-Extensions.md,app extensions,app extension,References
1026,PureLayout,PureLayout,Migrating-from-PureLayout-v2.x-to-v3.0.md,migrating from pure layout v2x to v30,migrate from @PROJECT @NUMBER to @NUMBER,How
1027,thoughtbot,factory_bot,Testing-all-Factories-(with-RSpec).md,testing all factories with rspec,test all factory with rspec,How
1028,thoughtbot,factory_bot,How-factory_bot-interacts-with-ActiveRecord.md,how factory bot interacts with active record,how @PROJECT interact with active record,How
1029,thoughtbot,factory_bot,Example-factories.rb-file.md,example factoriesrb file,example factoriesrb file,References
1030,react-cosmos,react-cosmos,Problem.md,problem,problem,References
1031,pyro-ppl,pyro,Model-ranch.md,model ranch,model ranch,References
1032,pyro-ppl,pyro,Design-Docs.md,design docs,design doc,References
1033,Kitura,Kitura,Home.md,home,home,What
1034,OWASP,Amass,The-Configuration-File.md,the configuration file,the configuration file,References
1035,OWASP,Amass,Installation-Guide.md,installation guide,installation guide,How
1036,OWASP,Amass,User-Guide.md,user guide,user guide,How
1037,OWASP,Amass,Tutorial.md,tutorial,tutorial,How
1038,ImageMagick,ImageMagick,Home.md,home,home,What
1039,attic-labs,noms,Human-readable-serialization.md,human readable serialization,human readable serialization,References
1040,attic-labs,noms,Chunking-Lists.md,chunking lists,chunk list,References
1041,TrinityCore,TrinityCore,Home.md,home,home,What
1042,TrinityCore,TrinityCore,SQL-Fix.md,sql fix,sql fix,How
1043,LeetCode-OpenSource,vscode-leetcode,Troubleshooting.md,troubleshooting,troubleshoot,How
1044,LeetCode-OpenSource,vscode-leetcode,Customize-the-Relative-Folder-and-the-File-Name-of-the-Problem-File.md,customize the relative folder and the file name of the problem file,customize the relative folder and the file name of the problem file,How
1045,AlessandroZ,LaZagne,Create-a-new-module.md,create a new module,create a new module,How
1046,AlessandroZ,LaZagne,How-to-compile.md,how to compile,how to compile,How
1047,FormidableLabs,radium,Home.md,home,home,What
1048,cerebroapp,cerebro,Plugins.md,plugins,plugins,References
1049,Canop,broot,A-broot-neovim-terminator-setup.md,a broot neovim terminator setup,a @PROJECT neovim terminator setup,How
1050,Canop,broot,Broot-as-global-file-manager.md,broot as global file manager,@PROJECT as global file manager,How
1051,terkelg,prompts,Date-Time-Formatting.md,date time formatting,date time format,References
1052,ethereum,mist,QA-Checklist.md,qa checklist,qa checklist,Contribuition
1053,ethereum,mist,Home.md,home,home,What
1054,ethereum,mist,Wallet-Contract.md,wallet contract,wallet contract,How
1055,ethereum,mist,Translation-and-i18n-Guide.md,translation and i18n guide,translation and @NON_ENGLISH guide,How
1056,lanpa,tensorboardX,Home.md,home,home,What
1057,lz4,lz4,Todo.md,todo,todo,Other
1058,lz4,lz4,Home.md,home,home,What
1059,popcorn-official,popcorn-desktop,Fix-crashing-on-macOS-^12.md,fix crashing on mac os 12,fix crash on mac os @NUMBER,How
1060,popcorn-official,popcorn-desktop,FAQ.md,faq,faq,References
1061,popcorn-official,popcorn-desktop,Run-on-Raspberry-Pi-4.md,run on raspberry pi 4,run on raspberry pi @NUMBER,How
1062,noisetorch,NoiseTorch,Start-automatically-with-Systemd.md,start automatically with systemd,start automatically with systemd,How
1063,noisetorch,NoiseTorch,Troubleshooting.md,troubleshooting,troubleshoot,How
1064,noisetorch,NoiseTorch,Why-does-NoiseTorch-prompt-for-root-privileges.md,why does noise torch prompt for root privileges,why do @PROJECT prompt for root privilege,References
1065,noisetorch,NoiseTorch,I-don't-want-to-enter-my-password-everytime.md,i dont want to enter my password everytime,i dont want to enter my password everytime,Other
1066,openai,universe,Solutions-to-common-problems.md,solutions to common problems,solution to common problem,How
1067,sundowndev,phoneinfoga,Resources.md,resources,resource,References
1068,sundowndev,phoneinfoga,Introduction.md,introduction,introduction,What
1069,sundowndev,phoneinfoga,Formatting.md,formatting,format,References
1070,RT-Thread,rt-thread,Maintainers-for-each-submodules.md,maintainers for each submodules,maintainer for each submodules,Who
1071,RT-Thread,rt-thread,Google-Summer-Camp-2022-Idea.md,google summer camp 2022 idea,google summer camp @YEAR idea,When
1072,fideloper,TrustedProxy,Home.md,home,home,What
1073,fideloper,TrustedProxy,IP-Addresses-of-Popular-Services.md,ip addresses of popular services,ip address of popular service,References
1074,ajeetdsouza,zoxide,Algorithm.md,algorithm,algorithm,References
1075,ajeetdsouza,zoxide,HOWTO:-set-environment-variables.md,howto set environment variables,howto set environment variable,How
1076,dexidp,dex,Home.md,home,home,What
1077,pedant,sweet-alert-dialog,Home.md,home,home,What
1078,leeoniya,uPlot,Integration-Examples.md,integration examples,integration example,References
1079,onivim,oni2,VimL-configs.md,vim l configs,vim l configs,References
1080,patchthecode,JTAppleCalendar,Home.md,home,home,What
1081,patchthecode,JTAppleCalendar,Tutorials.md,tutorials,tutorial,How
1082,patchthecode,JTAppleCalendar,8.0.0-MIGRATION-GUIDE.md,800 migration guide,@NUMBER migration guide,How
1083,patchthecode,JTAppleCalendar,Common-Questions.md,common questions,common question,References
1084,monero-project,monero,Daemon-RPC-documentation.md,daemon rpc documentation,daemon rpc documentation,References
1085,monero-project,monero,monero-wallet-cli-commands.md,monero wallet cli commands,@PROJECT wallet cli command,References
1086,monero-project,monero,Wallet-RPC-Documentation.md,wallet rpc documentation,wallet rpc documentation,References
1087,monero-project,monero,URI-Formatting.md,uri formatting,uri format,References
1088,monero-project,monero,Feature-Requests.md,feature requests,feature request,When
1089,jonataslaw,getx,Community-Tutorials-and-Examples.md,community tutorials and examples,community tutorial and example,References
1090,jonataslaw,getx,State-Management.md,state management,state management,How
1091,laramies,theHarvester,How-to-add-a-new-module.md,how to add a new module,how to add a new module,How
1092,laramies,theHarvester,Installation.md,installation,installation,How
1093,laramies,theHarvester,Rest-API.md,rest api,rest api,References
1094,mps-youtube,mps-youtube,Troubleshooting.md,troubleshooting,troubleshoot,How
1095,mps-youtube,mps-youtube,Videocategories.md,videocategories,videocategories,References
1096,mps-youtube,mps-youtube,How-to-Use-Playlists.md,how to use playlists,how to use playlist,How
1097,gitkraken,vscode-gitlens,Custom-Formatting.md,custom formatting,custom format,References
1098,developit,microbundle,How-Microbundle-decides-which-dependencies-to-bundle.md,how microbundle decides which dependencies to bundle,how @PROJECT decide which dependency to bundle,How
1099,developit,microbundle,mangle.json.md,manglejson,manglejson,How
1100,schachmat,wego,How-to-write-a-new-backend-or-frontend.md,how to write a new backend or frontend,how to write a new backend or frontend,How
1101,smallnest,rpcx,FAQ.md,faq,faq,References
1102,predis,predis,Client-Options.md,client options,client option,References
1103,predis,predis,Home.md,home,home,What
1104,predis,predis,Connection-Parameters.md,connection parameters,connection parameter,References
1105,predis,predis,Download.md,download,download,How
1106,toptal,gitignore.io,Advanced-Command-Line.md,advanced command line,advance command line,References
1107,toptal,gitignore.io,Continuous-Integration.md,continuous integration,continuous integration,References
1108,nodemcu,nodemcu-firmware,ESP8266---ESP32-Compatibility.md,esp8266 esp32 compatibility,@NON_ENGLISH @NON_ENGLISH compatibility,References
1109,nodemcu,nodemcu-firmware,Windows-Docker-LFS-esptool-ESPlorer-Workflow-Cheat-Sheet.md,windows docker lfs esptool esplorer workflow cheat sheet,window docker lf esptool esplorer workflow cheat sheet,References
1110,nodemcu,nodemcu-firmware,[DRAFT]-How-to-write-a-C-module.md,draft how to write a c module,draft how to write a c module,How
1111,daybrush,moveable,Migration-0.X-to-1.0.md,migration 0x to 10,migration @NUMBER to @NUMBER,How
1112,google,re2,Syntax.md,syntax,syntax,References
1113,google,re2,CplusplusAPI.md,cplusplus api,cplusplus api,References
1114,google,re2,Glossary.md,glossary,glossary,References
1115,google,re2,Contribute.md,contribute,contribute,Contribuition
1116,google,re2,Install.md,install,install,How
1117,google,re2,WhyRE2.md,why re2,why @PROJECT,Why
1118,hpneo,gmaps,Tips.md,tips,tip,References
1119,hpneo,gmaps,A-small-guide-about-contributing.md,a small guide about contributing,a small guide about contribute,Contribuition
1120,ApoorvSaxena,lozad.js,Changelog.md,changelog,changelog,When
1121,ApoorvSaxena,lozad.js,Sites-using-Lozad.js.md,sites using lozadjs,sit use @PROJECT,Who
1122,ApoorvSaxena,lozad.js,Frequently-Asked-Questions.md,frequently asked questions,frequently ask question,References
1123,sstephenson,bats,Install-Bats-Using-GNU-Stow.md,install bats using gnu stow,install @PROJECT use gnu stow,How
1124,sstephenson,bats,Install-Bats-Using-a-Package.md,install bats using a package,install @PROJECT use a package,How
1125,sstephenson,bats,Bats-Evaluation-Process.md,bats evaluation process,@PROJECT evaluation process,References
1126,sstephenson,bats,Home.md,home,home,What
1127,sstephenson,bats,Projects-Using-Bats.md,projects using bats,project use @PROJECT,Who
1128,peco,peco,Keyboard-Shortcuts.md,keyboard shortcuts,keyboard shortcut,References
1129,peco,peco,Sample-Usage.md,sample usage,sample usage,How
1130,rayon-rs,rayon,Benchmarking-Rayon.md,benchmarking rayon,benchmarking @PROJECT,Why
1131,rayon-rs,rayon,Iterator-Trait-Parity.md,iterator trait parity,iterator trait parity,References
1132,rayon-rs,rayon,Itertools-Parity.md,itertools parity,itertools parity,References
1133,DevinVinson,WordPress-Plugin-Boilerplate,Setting-up-the-boilerplate-in-UNIX.md,setting up the boilerplate in unix,set up the boilerplate in unix,How
1134,DevinVinson,WordPress-Plugin-Boilerplate,How-To-Add-Shortcodes.md,how to add shortcodes,how to add shortcodes,How
1135,DevinVinson,WordPress-Plugin-Boilerplate,Using-the-plugin-boilerplate-in-Varying-Vagrant-Vagrants-(VVV).md,using the plugin boilerplate in varying vagrant vagrants vvv,use the plugin boilerplate in vary vagrant vagrant vvv,How
1136,spring-projects,spring-security,Release-Process.md,release process,release process,Contribuition
1137,spring-projects,spring-security,Pull-Request-Reviewer-Guidelines.md,pull request reviewer guidelines,pull request reviewer guideline,Contribuition
1138,gperftools,gperftools,OOM-handling.md,oom handling,oom handle,References
1139,gperftools,gperftools,gperftools'-stacktrace-capturing-methods-and-their-issues.md,gperftools stacktrace capturing methods and their issues,@PROJECT stacktrace capture method and their issue,References
1140,malcommac,SwiftDate,3.-Create-Dates.md,3 create dates,@NUMBER create date,How
1141,malcommac,SwiftDate,1.-Introduction:-Absolute-Date-and-DateInRegion.md,1 introduction absolute date and date in region,@NUMBER introduction absolute date and date in region,What
1142,malcommac,SwiftDate,2.-Date-Components.md,2 date components,@NUMBER date component,References
1143,deepstreamIO,deepstream.io,rpc-protocol.md,rpc protocol,rpc protocol,References
1144,deepstreamIO,deepstream.io,Potential-Questions.md,potential questions,potential question,References
1145,facebookarchive,xctool,Wishlist.md,wishlist,wishlist,When
1146,rsuite,rsuite,FAQ.md,faq,faq,References
1147,open-policy-agent,opa,Home.md,home,home,What
1148,adobe,react-spectrum,"Tracker-for-External-Browser-Bugs,-Library-Bugs,-and-Features.md",tracker for external browser bugs library bugs and features,tracker for external browser bug library bug and feature,References
1149,adobe,react-spectrum,Frequently-Asked-Questions-(FAQs).md,frequently asked questions faqs,frequently ask question faq,References
1150,adobe,react-spectrum,Known-accessibility-false-positives.md,known accessibility false positives,know accessibility false positive,References
1151,utom,sketch-measure,How-to-change-default-styles.md,how to change default styles,how to change default style,How
1152,ocrmypdf,OCRmyPDF,OCRmyPDF-FAQ-and-Usage.md,ocrmy pdf faq and usage,@PROJECT faq and usage,References
1153,tonymillion,Reachability,Projects-using-Reachability.md,projects using reachability,project use @PROJECT,Who
1154,tonymillion,Reachability,Function-to-test-internet-connection-easily:.md,function to test internet connection easily,function to test internet connection easily,How
1155,visualfc,liteide,Changelog.md,changelog,changelog,References
1156,visualfc,liteide,Keyboard-shortcuts.md,keyboard shortcuts,keyboard shortcut,References
1157,visualfc,liteide,Faq.md,faq,faq,References
1158,visualfc,liteide,Build.md,build,build,How
1159,gui-cs,Terminal.Gui,Testing.md,testing,test,How
1160,gui-cs,Terminal.Gui,Framework-Design-Guidelines.md,framework design guidelines,framework design guideline,Contribuition
1161,ipkn,crow,Middleware.md,middleware,middleware,References
1162,ipkn,crow,Quickstart.md,quickstart,quickstart,How
1163,fluxcd,flux,ReleasePlanning.md,release planning,release plan,Contribuition
1164,fluxcd,flux,Home.md,home,home,What
1165,fluxcd,flux,MoveToFluxCD.md,move to flux cd,move to @PROJECT cd,How
1166,fluxcd,flux,IssueTriage.md,issue triage,issue triage,Contribuition
1167,fluxcd,flux,Fluxd:-Adding-a-command-flag-procedure.md,fluxd adding a command flag procedure,fluxd add a command flag procedure,How
1168,hajimehoshi,ebiten,Android.md,android,android,How
1169,hajimehoshi,ebiten,iOS.md,i os,i os,How
1170,hajimehoshi,ebiten,Mobile.md,mobile,mobile,How
1171,hajimehoshi,ebiten,Works.md,works,work,Who
1172,Kulbear,deep-learning-coursera,"Screenshots-for-Course-2:-Improving-Deep-Neural-Networks:-Hyperparameter-tuning,-Regularization-and-Optimization.md",screenshots for course 2 improving deep neural networks hyperparameter tuning regularization and optimization,screenshots for course @NUMBER improve deep neural network hyperparameter tune regularization and optimization,Other
1173,libretro,RetroArch,Home.md,home,home,What
1174,Rob--W,cors-anywhere,Home.md,home,home,What
1175,trentm,node-bunyan,Awesome-Bunyan.md,awesome bunyan,awesome bunyan,References
1176,wpscanteam,wpscan,WPScan-User-Documentation.md,wpscan user documentation,@PROJECT user documentation,References
1177,wpscanteam,wpscan,Useful-Functions-for-Plugin-and-Theme-Security.md,useful functions for plugin and theme security,useful function for plugin and theme security,References
1178,wpscanteam,wpscan,WordPress-Plugin-Security-Testing-Cheat-Sheet.md,word press plugin security testing cheat sheet,word press plugin security test cheat sheet,References
1179,wpscanteam,wpscan,WordPress-3.5-Issues.md,word press 35 issues,word press @NUMBER issue,References
1180,Alinshans,MyTinySTL,container.md,container,container,References
1181,Alinshans,MyTinySTL,algorithm.md,algorithm,algorithm,References
1182,Alinshans,MyTinySTL,adapter.md,adapter,adapter,References
1183,github-changelog-generator,github-changelog-generator,Alternatives.md,alternatives,alternative,References
1184,github-changelog-generator,github-changelog-generator,Projects-using-Github-Changelog-Generator.md,projects using github changelog generator,project use @PROJECT,Who
1185,github-changelog-generator,github-changelog-generator,Advanced-change-log-generation-examples.md,advanced change log generation examples,advance change log generation example,References
1186,vmware-archive,kubeless,Python-Runtime.md,python runtime,python runtime,References
1187,vmware-archive,kubeless,CLI.md,cli,cli,References
1188,vmware-archive,kubeless,Home.md,home,home,What
1189,microsoft,botframework-sdk,Roadmap.md,roadmap,roadmap,When
1190,quickwit-oss,tantivy,File-Lifecycle-in-Tantivy-&-Garbage-Collection.md,file lifecycle in tantivy garbage collection,file lifecycle in @PROJECT garbage collection,References
1191,quickwit-oss,tantivy,Life-of-a-Segment.md,life of a segment,life of a segment,References
1192,Compass,compass,nanoc-Integration.md,nanoc integration,nanoc integration,How
1193,Compass,compass,Issue-Policies-and-Procedures.md,issue policies and procedures,issue policy and procedure,Contribuition
1194,JetBrains,ideavim,Select-mode.md,select mode,select mode,How
1195,JetBrains,ideavim,Emulated-plugins.md,emulated plugins,emulate plugins,References
1196,JetBrains,ideavim,sethandler.md,sethandler,sethandler,How
1197,JetBrains,ideavim,"""set""-commands.md",set commands,set command,References
1198,JetBrains,ideavim,NERDTree-support.md,nerdtree support,nerdtree support,References
1199,ChrisAnd1998,TaskbarX,Home.md,home,home,What
1200,neon-bindings,neon,Candidate-Breaking-Changes-for-0.10.md,candidate breaking changes for 010,candidate break change for @NUMBER,When
1201,neon-bindings,neon,Release-checklist.md,release checklist,release checklist,Contribuition
1202,neon-bindings,neon,Neon-0.2-Migration-Guide.md,neon 02 migration guide,@PROJECT @NUMBER migration guide,How
1203,kazupon,vue-i18n,Usage-for-v3.0.md,usage for v30,usage for @NUMBER,How
1204,Vincit,objection.js,Companies-using-objection.js-in-production.md,companies using objectionjs in production,company use @PROJECT in production,Who
1205,naman14,Timber,Home.md,home,home,What
1206,samratashok,nishang,Home.md,home,home,What
1207,samratashok,nishang,Problems-installilng-nishang-on-Win10.md,problems installilng nishang on win10,problem installilng @PROJECT on @NON_ENGLISH,How
1208,rs,zerolog,Who-uses-zerolog.md,who uses zerolog,who use @PROJECT,Who
1209,blasten,turn.js,Reference.md,reference,reference,References
1210,blasten,turn.js,Making-pages-dynamically-with-Ajax.md,making pages dynamically with ajax,make page dynamically with ajax,How
1211,MiCode,Xiaomi_Kernel_OpenSource,How-To-Use.md,how to use,how to use,How
1212,MiCode,Xiaomi_Kernel_OpenSource,How-to-compile-kernel-standalone.md,how to compile kernel standalone,how to compile kernel standalone,How
1213,AllThingsSmitty,must-watch-javascript,Automated-test-and-generate-RESTful-API-documentation-through-rest-client.md,automated test and generate restful api documentation through rest client,automate test and generate restful api documentation through rest client,How
1214,AGWA,git-crypt,Create-a-Repostiory.md,create a repostiory,create a repostiory,How
1215,AGWA,git-crypt,Installation.md,installation,installation,How
1216,aheckmann,gm,GraphicsMagick-and-ImageMagick-versions.md,graphics magick and image magick versions,graphic magick and image magick version,References
1217,zeroclipboard,zeroclipboard,Home.md,home,home,What
1218,baldurk,renderdoc,Release-Notes-v0.19.md,release notes v019,release note @NUMBER,When
1219,baldurk,renderdoc,GCN-ISA.md,gcn isa,gcn isa,References
1220,baldurk,renderdoc,Code-formatting-(using-clang-format).md,code formatting using clang format,code format use clang format,How
1221,baldurk,renderdoc,PySide2.md,py side2,py @NON_ENGLISH,References
1222,baldurk,renderdoc,Vulkan.md,vulkan,vulkan,How
1223,invoiceninja,invoiceninja,Release-notes.md,release notes,release note,When
1224,invoiceninja,invoiceninja,Home.md,home,home,What
1225,invoiceninja,invoiceninja,v4-Installation.md,v4 installation,@NUMBER installation,How
1226,invoiceninja,invoiceninja,v5-Installation.md,v5 installation,@NUMBER installation,How
1227,yuliskov,SmartTubeNext,App-Privacy-Policy.md,app privacy policy,app privacy policy,References
1228,doccano,doccano,How-to-Contribute-to-Doccano-Project.md,how to contribute to doccano project,how to contribute to @PROJECT project,Contribuition
1229,briangonzalez,jquery.adaptive-backgrounds.js,How-to-Report-an-Issue.md,how to report an issue,how to report an issue,Contribuition
1230,gocd,gocd,QA-Activities.md,qa activities,qa activity,Contribuition
1231,gocd,gocd,Provisioning-the-windows-machine-for-running-jasmine-karma-tests.md,provisioning the windows machine for running jasmine karma tests,provision the window machine for run jasmine karma test,How
1232,gocd,gocd,Release-Activities.md,release activities,release activity,Contribuition
1233,gocd,gocd,Support-matrix.md,support matrix,support matrix,References
1234,casey,just,Feature-Ideas.md,feature ideas,feature idea,When
1235,tiff,wysihtml5,Getting Started.md,getting started,get start,How
1236,aimacode,aima-python,GSOC-2018.md,gsoc 2018,gsoc @YEAR,When
1237,mde,ejs,Using-EJS-with-Express.md,using ejs with express,use @PROJECT with express,How
1238,kelektiv,node.bcrypt.js,Installation-Instructions.md,installation instructions,installation instruction,How
1239,kelektiv,node.bcrypt.js,bcrypt-vs-bcrypt.js.md,bcrypt vs bcryptjs,bcrypt vs bcryptjs,Why
1240,kelektiv,node.bcrypt.js,Security-Issues-and-Concerns.md,security issues and concerns,security issue and concern,Who
1241,rauchg,slackin,OpenShift.md,open shift,open shift,How
1242,Cyan4973,xxHash,Performance-comparison.md,performance comparison,performance comparison,Why
1243,Cyan4973,xxHash,Collision-ratio-comparison.md,collision ratio comparison,collision ratio comparison,References
1244,fluent-ffmpeg,node-fluent-ffmpeg,Looking-for-a-new-maintainer.md,looking for a new maintainer,look for a new maintainer,Contribuition
1245,fluent-ffmpeg,node-fluent-ffmpeg,FAQ.md,faq,faq,References
1246,fluent-ffmpeg,node-fluent-ffmpeg,Installing-ffmpeg-on-Debian.md,installing ffmpeg on debian,instal ffmpeg on debian,How
1247,fluent-ffmpeg,node-fluent-ffmpeg,Migrating-from-fluent-ffmpeg-1.x.md,migrating from fluent ffmpeg 1x,migrate from fluent ffmpeg @NUMBER,How
1248,Terry-Mao,goim,architecture-and-Customization.md,architecture and customization,architecture and customization,References
1249,360Controller,360Controller,Compatible-controllers.md,compatible controllers,compatible controller,References
1250,360Controller,360Controller,Home.md,home,home,What
1251,360Controller,360Controller,Developer-Info.md,developer info,developer info,References
1252,360Controller,360Controller,Games.md,games,game,References
1253,lhartikk,ArnoldC,ArnoldC.md,arnold c,@PROJECT,What
1254,QuantConnect,Lean,Project\Python-Speed-Up.md,project python speed up,project python speed up,Contribuition
1255,QuantConnect,Lean,Data\Implementing-BaseData.md,data implementing base data,data implement base data,How
1256,php-pm,php-pm,Use-without-Docker.md,use without docker,use without docker,How
1257,php-pm,php-pm,Custom-Bridges-and-Bootstrapping.md,custom bridges and bootstrapping,custom bridge and bootstrapping,References
1258,AirtestProject,Airtest,Global-Setttings.md,global setttings,global setttings,References
1259,andreafabrizi,Dropbox-Uploader,Setup-on-Android.md,setup on android,setup on android,How
1260,andreafabrizi,Dropbox-Uploader,7zip-and-backup-to-dropbox.md,7zip and backup to dropbox,@NON_ENGLISH and backup to dropbox,How
1261,markzhai,AndroidPerformanceMonitor,Home.md,home,home,What
1262,dahlbyk,posh-git,Posh--Git-Module-Functions.md,posh git module functions,@PROJECT module function,Other
1263,dahlbyk,posh-git,Tig-Integration-With-PowerShell-(using-Cygwin).md,tig integration with power shell using cygwin,tig integration with power shell use cygwin,How
1264,dahlbyk,posh-git,FAQ.md,faq,faq,References
1265,dahlbyk,posh-git,Home.md,home,home,What
1266,dahlbyk,posh-git,Customizing-Your-PowerShell-Prompt.md,customizing your power shell prompt,customize your power shell prompt,How
1267,dahlbyk,posh-git,Feature-Requests.md,feature requests,feature request,When
1268,plantuml,plantuml,Comparison-of-Emoji-or-SVG-icon-pack-on-PlantUML.md,comparison of emoji or svg icon pack on plant uml,comparison of emoji or svg icon pack on plant uml,References
1269,plantuml,plantuml,Module-Proposal.md,module proposal,module proposal,When
1270,baskerville,bspwm,Playing-nicely-with-fish-shell.md,playing nicely with fish shell,play nicely with fish shell,How
1271,baskerville,bspwm,Home.md,home,home,What
1272,baskerville,bspwm,Command-Syntax-Rewrite.md,command syntax rewrite,command syntax rewrite,References
1273,ElectronNET,Electron.NET,Home.md,home,home,What
1274,OJ,gobuster,201809-WhiteRibbon.md,201809 white ribbon,@NUMBER white ribbon,Other
1275,PostgresApp,PostgresApp,Maintainer-Meeting.md,maintainer meeting,maintainer meet,When
1276,cisco,ChezScheme,Backend-implementation.md,backend implementation,backend implementation,References
1277,jackocnr,intl-tel-input,Contributions.md,contributions,contribution,Who
1278,jackocnr,intl-tel-input,Removing-jQuery-Dependency.md,removing jquery dependency,remove jquery dependency,How
1279,jackocnr,intl-tel-input,Integrations.md,integrations,integration,References
1280,jackocnr,intl-tel-input,New-Issue-Checklist.md,new issue checklist,new issue checklist,Contribuition
1281,jackocnr,intl-tel-input,Converting-jQuery-to-JavaScript.md,converting jquery to java script,convert jquery to java script,How
1282,jackocnr,intl-tel-input,utils.js.md,utilsjs,utilsjs,References
1283,paper-trail-gem,paper_trail,Observing-and-logging-with-paper_trail.md,observing and logging with paper trail,observe and log with @PROJECT,How
1284,paper-trail-gem,paper_trail,Setting-whodunnit-in-the-rails-console.md,setting whodunnit in the rails console,set whodunnit in the rail console,How
1285,tc39,proposal-pipeline-operator,Tooling-implementation-status.md,tooling implementation status,tool implementation status,References
1286,tc39,proposal-pipeline-operator,Home.md,home,home,What
1287,tc39,proposal-pipeline-operator,Bikeshedding-the-Hack-topic-token.md,bikeshedding the hack topic token,bikeshedding the hack topic token,References
1288,tc39,proposal-pipeline-operator,Example-use-cases.md,example use cases,example use case,References
1289,joeycastillo,The-Open-Book,Open-Book-Documentation.md,open book documentation,open book documentation,References
1290,joeycastillo,The-Open-Book,E-Book-Wing-Setup-Guide.md,e book wing setup guide,e book wing setup guide,How
1291,s3fs-fuse,s3fs-fuse,Non-Amazon-S3.md,non amazon s3,non amazon @NON_ENGLISH,References
1292,s3fs-fuse,s3fs-fuse,Installation-Notes.md,installation notes,installation note,How
1293,s3fs-fuse,s3fs-fuse,FAQ.md,faq,faq,References
1294,s3fs-fuse,s3fs-fuse,Fuse-Over-Amazon.md,fuse over amazon,fuse over amazon,References
1295,s3fs-fuse,s3fs-fuse,Google-Cloud-Storage.md,google cloud storage,google cloud storage,References
1296,mixmark-io,turndown,Migrating-from-to-markdown-to-Turndown.md,migrating from to markdown to turndown,migrate from to markdown to @PROJECT,How
1297,juanfont,headscale,nginx-configuration.md,nginx configuration,nginx configuration,How
1298,bmatzelle,gow,executables_list.md,executables list,executables list,References
1299,bmatzelle,gow,change_log.md,change log,change log,When
1300,bmatzelle,gow,Home.md,home,home,What
